bus_id;pole_id;y_coord;x_coord;vn_kv;;Lat (deg);Lat (min);Lat (s);Lat (dir);lon(deg);lon(min);lon(s);lon (dir)
bus_1mv;pole_1;-37.95138889;178.2463889;11;;37;57;5;s;178;14;47;e
bus_2mv;pole_2;-37.95083333;178.2469444;11;;37;57;3;s;178;14;49;e
bus_2lv;pole_2;-37.95083333;178.2469444;0.4;;37;57;3;s;178;14;49;e
bus_3lv;pole_3;-37.95083333;178.2466667;0.4;;37;57;3;s;178;14;48;e
bus_4lv;pole_4;-37.95055556;178.2463889;0.4;;37;57;2;s;178;14;47;e
bus_5mv;pole_5;-37.95027778;178.2472222;11;;37;57;1;s;178;14;50;e
bus_5lv;pole_5;-37.95027778;178.2472222;0.4;;37;57;1;s;178;14;50;e
bus_6mv;pole_6;-37.95;178.2475;11;;37;57;0;s;178;14;51;e
bus_6lv;pole_6;-37.95;178.2475;0.4;;37;57;0;s;178;14;51;e
bus_7lv;pole_7;-37.94972222;178.2477778;0.4;;37;56;59;s;178;14;52;e
bus_8mv;pole_8;-37.94972222;178.2477778;11;;37;56;59;s;178;14;52;e
bus_8lv;pole_8;-37.94972222;178.2477778;0.4;;37;56;59;s;178;14;52;e
bus_9mv;pole_9;-37.94916667;178.2480556;11;;37;56;57;s;178;14;53;e
bus_9lv;pole_9;-37.94916667;178.2480556;0.4;;37;56;57;s;178;14;53;e
bus_10lv;pole_10;-37.94916667;178.2483333;0.4;;37;56;57;s;178;14;54;e
bus_11lv;pole_11;-37.94916667;178.2480556;0.4;;37;56;57;s;178;14;53;e
bus_12mv;pole_12;-37.94888889;178.2483333;11;;37;56;56;s;178;14;54;e
bus_12lv;pole_12;-37.94888889;178.2483333;0.4;;37;56;56;s;178;14;54;e
bus_13mv;pole_13;-37.95166667;178.2455556;11;;37;57;6;s;178;14;44;e
bus_14mv;pole_14;-37.95194444;178.245;11;;37;57;7;s;178;14;42;e
bus_15mv;pole_15;-37.95305556;178.2444444;11;;37;57;11;s;178;14;40;e
bus_16mv;pole_16;-37.95361111;178.2438889;11;;37;57;13;s;178;14;38;e
bus_17mv;pole_17;-37.95416667;178.2438889;11;;37;57;15;s;178;14;38;e
bus_17lv;pole_17;-37.95416667;178.2438889;0.4;;37;57;15;s;178;14;38;e
bus_18mv;pole_18;-37.95361111;178.2427778;11;;37;57;13;s;178;14;34;e
bus_18lv;pole_18;-37.95361111;178.2427778;0.4;;37;57;13;s;178;14;34;e
bus_19mv;pole_19;-37.95388889;178.2413889;11;;37;57;14;s;178;14;29;e
bus_19lv;pole_19;-37.95388889;178.2413889;0.4;;37;57;14;s;178;14;29;e
bus_20mv;pole_20;-37.95388889;178.2402778;11;;37;57;14;s;178;14;25;e
bus_20lv;pole_20;-37.95388889;178.2402778;0.4;;37;57;14;s;178;14;25;e
bus_21mv;pole_21;-37.95416667;178.24;11;;37;57;15;s;178;14;24;e
bus_21lv;pole_21;-37.95416667;178.24;0.4;;37;57;15;s;178;14;24;e
bus_22mv;pole_22;-37.95416667;178.2394444;11;;37;57;15;s;178;14;22;e
bus_trafo1_mv;trafo1;-37.94861111;178.2488889;11;;37;56;55;s;178;14;56;e
bus_trafo1_lv;trafo1;-37.94861111;178.2488889;0.4;;37;56;55;s;178;14;56;e
bus_trafo2_mv;trafo2;-37.95361111;178.2436111;11;;37;57;13;s;178;14;37;e
bus_trafo2_lv;trafo2;-37.95361111;178.2436111;0.4;;37;57;13;s;178;14;37;e
